CategoryType,CategoryNumber,CategoryDescription
"B",1,"IBB"
"B",2,"Gms"
"B",3,"Sea"
"B",4,"B4 "
"B",5,"B5 "
"B",6,"B6"
"B",7,"B7"
"B",8,"B8"
"B",9,"B9"
"B",10,"B10"
"F",1,"F1 "
"F",2,"F2 "
"F",3,"F3 "
"F",4,"F4 "
"F",5,"F5 "
"F",6,"F6"
"F",7,"F7"
"F",8,"F8"
"F",9,"F9"
"F",10,"F10"
"P",1,"IBB"
"P",2,"P2 "
"P",3,"P3 "
"P",4,"P4 "
"P",5,"P5 "
"P",6,"P6"
"P",7,"P7"
"P",8,"P8"
"P",9,"P9"
"P",10,"P10"
